fips,state,county,brfss_id,landsqmi,areasqmi,totalpop2010,pctover62,pctmales,pctfemales,pctwhite1,pctblack1,pctindian1,pctasian1,pcthawnpi1,pctother1,avghhinc,avghhsocsec,pctpoort,pctpublictrans,pctbachelorsormore,pctbroadbandint,pctnointernet,pctnovehicles,sef_rank,ho_rank,hf_rank,pctuninsured,numofpcp,pctfluvacc,pctsomecollege,pctunemployed,lifeexpect,pctnohealthyfood,pctrural
29087," Missouri","Holt ",6,462.69,470.35,4912,28.6,49.3,50.7,96.7,0.7,0.8,0.8,0,0,56027,17207,12.9,0.3,19.8,84.1,14.5,8.4,8,29,12,13.2438,1,42,56.0316,2.38275,79.7663,37.1497,100
29089," Missouri","Howard ",3,463.85,471.53,10144,22.3,49.9,50.1,91.7,5.3,0.5,0.2,0,0.4,63071,17498,15,0,24.4,86.7,11.5,3.4,30,68,20,12.5574,4,39,53.9836,2.83531,77.3471,6.88352,64.0576
29091," Missouri","Howell ",5,927.25,928.37,40400,22.6,49,51,96.3,0.5,0.5,0.4,0,0.1,51022,16527,22.2,0.4,16.5,81.8,16.8,7.2,80,80,86,12.9321,41,37,55.6184,3.57297,75.8391,10.5119,72.1733
29093," Missouri","Iron ",5,550.26,552.06,10630,25.4,49.2,50.8,95.7,1.2,0.7,0.2,0.1,0,49709,18342,20.9,0.1,10.9,77.9,21.2,8.3,105,103,96,12.6564,1,38,45.3843,5.38939,73.8632,11.2291,74.8542
29095," Missouri","Jackson ",1,604.46,616.25,674158,17.8,48.4,51.6,66.6,23.6,0.4,1.9,0.3,4.1,71871,18952,15.2,2.1,30.9,89.1,10.5,9,85,53,77,12.586,536,48,67.9552,3.73348,77.2648,7.26771,3.83693
29097," Missouri","Jasper ",4,638.49,641.28,117404,17.8,48.8,51.2,90.4,2,1.6,1.1,0.1,1.5,61434,18189,17.4,0.4,22.9,82.9,16.7,6.3,50,56,49,14.1502,0,49,58.58,2.74619,75.9043,10.6059,23.6917
29099," Missouri","Jefferson ",2,656.63,664.28,218733,17.9,49.7,50.3,96,0.9,0.3,0.7,0,0.2,75099,20523,10.3,0.2,20.2,90.2,9.3,3.6,18,57,30,9.98741,54,52,67.0889,3.11532,75.9147,8.35509,30.1962
29101," Missouri","Johnson ",6,829.28,833.19,52595,14.4,51.6,48.4,89.1,4.3,0.5,1.7,0.3,0.5,63172,18107,15.4,0.1,28.4,91.8,7.9,5.6,17,11,40,10.0475,23,42,71.8776,3.70549,78.4245,6.06103,50.444
29103," Missouri","Knox ",7,504.01,506.83,4131,26.3,50.3,49.7,96.5,0.5,0,0.5,0.5,0.5,53762,16563,19.2,0,15.8,77.4,21.3,5.5,63,55,57,17.4744,1,43,50.7383,2.80957,77.3644,8.6025,100
29105," Missouri","Laclede ",3,764.72,768.01,35571,20.5,49.5,50.5,95.2,0.6,0.8,0.3,0,0.3,55565,17412,15,0.1,14.7,81.5,17.1,5.7,67,89,84,13.7301,19,27,49.6777,3.69377,74.5973,9.46415,60.5128
29107," Missouri","Lafayette ",1,628.43,638.94,33381,22.5,49.4,50.6,94,1.9,0.1,0.6,0.2,0.6,69330,19363,13,0.1,20.1,84.7,14.2,6.7,26,27,28,10.3659,8,38,53.3205,3.20758,76.8127,4.81828,56.9486
29109," Missouri","Lawrence ",4,611.74,613.38,38634,21.2,49.8,50.2,95.5,0.6,0.5,0.2,0,1,57088,18212,16.9,0.1,15.3,85.1,14.1,5.7,62,81,60,13.6419,21,38,48.7749,3.04972,74.8702,4.81223,58.6866
29111," Missouri","Lewis ",7,505.04,510.8,10211,21.5,50.9,49.1,94.3,3.3,0.8,0,0.1,0,57820,16877,15.5,0.6,14,85.9,11.6,6,34,95,43,11.9016,2,31,51.0407,2.84369,74.5889,16.8947,100
29113," Missouri","Lincoln ",2,626.56,640.46,52566,16.1,49.5,50.5,94.7,1.9,0.3,0.4,0,0.8,70775,19226,12.6,0.1,15.9,87.8,11.1,3.6,44,39,75,10.4975,4,43,55.7202,3.30325,76.5574,2.51106,74.8297
29115," Missouri","Linn ",7,615.56,621.38,12761,24.9,48.1,51.9,96.7,0.6,0.2,0.3,0,0.3,57034,18695,15,0,15.4,84.6,14.7,4.6,88,94,65,12.4205,5,40,52.4864,4.69511,74.2516,10.6866,66.4525
29117," Missouri","Livingston ",7,532.33,538.57,15195,23.4,45.2,54.8,93.8,2.7,0.5,0.5,0.1,0.4,58725,18036,16.4,0.4,19.3,81.6,17.8,5.2,32,43,37,12.1884,12,48,50.1499,2.49333,78.0664,3.93085,36.6041
29119," Missouri","McDonald ",4,539.48,539.68,23083,19,51,49,87.5,2,3.1,1.4,1.8,1.6,54650,17714,19.5,0,11.8,63.9,34.3,5.6,95,92,102,20.2625,3,34,33.4111,3.03607,74.8208,3.49198,99.9913
