fips,state,county,brfss_id,landsqmi,areasqmi,totalpop2010,pctover62,pctmales,pctfemales,pctwhite1,pctblack1,pctindian1,pctasian1,pcthawnpi1,pctother1,avghhinc,avghhsocsec,pctpoort,pctpublictrans,pctbachelorsormore,pctbroadbandint,pctnointernet,pctnovehicles,sef_rank,ho_rank,hf_rank,pctuninsured,numofpcp,pctfluvacc,pctsomecollege,pctunemployed,lifeexpect,pctnohealthyfood,pctrural
29167," Missouri","Polk ",4,635.52,642.41,31137,21.8,48.9,51.1,95.5,0.9,1.1,0.5,0.1,0.1,59516,18686,14.5,0.1,20.3,88.1,10.9,5.5,73,30,61,13.496,25,27,57.9457,3.64994,76.8145,2.50715,68.8698
29169," Missouri","Pulaski ",3,547.1,551.48,52274,10.9,57.1,42.9,74.6,12.3,1,2.8,0.3,3.9,61011,16082,14.4,0.3,25.9,87.9,11.2,5.3,24,35,35,11.4217,21,20,74.828,3.5956,76.3886,13.3276,44.0314
29171," Missouri","Putnam ",7,517.32,519.61,4979,28.8,49.6,50.4,96.4,0.3,0.2,0.6,0,0,52275,17807,18.1,0,18.9,76.3,22.6,6.4,48,93,34,14.0322,3,42,55.7339,3.44262,75.4001,12.2031,100
29173," Missouri","Ralls ",7,469.78,483.83,10167,25.1,50.7,49.3,96.7,1.3,0.5,0.5,0,0.1,66133,19594,12.5,0,13.6,89.5,9.4,3.6,16,18,22,10.6478,2,34,48.7061,2.81239,80.5421,2.20472,96.105
29175," Missouri","Randolph ",7,482.68,487.83,25414,20.4,52.5,47.5,90.1,5.9,0.5,0.5,0.1,0.4,58047,18259,15.5,0.4,15.3,89.5,9.8,6.4,78,62,85,11.6185,11,41,55.7813,3.84128,75.6948,6.07214,45.1759
29177," Missouri","Ray ",1,568.81,573.94,23494,21.9,49.8,50.2,95.9,1.7,0.5,0.2,0,0.2,70010,19682,14.8,0.5,13.9,86.1,13.1,7.2,55,49,62,11.2745,8,46,49.0181,3.59341,75.4164,6.64078,75.2192
29179," Missouri","Reynolds ",5,808.48,814.41,6696,26.9,51.3,48.7,95.1,1.9,0.4,0.1,0.3,0.7,52990,16646,18.2,0.1,11.1,86.6,11,5.3,69,97,72,14.8689,3,33,44.4048,3.09312,76.5461,20.5185,100
29181," Missouri","Ripley ",5,629.54,631.64,14100,24,49.8,50.2,96.3,0.4,0.5,0.2,0.2,0.2,43514,17197,26.9,0,10.9,78.5,21,7.7,111,111,111,15.4526,6,24,44.2075,5.20569,73.0497,10.8785,100
29183," Missouri","St. Charles ",2,560.44,592.61,360485,17.7,49.1,50.9,89.9,4.4,0.2,2.5,0,0.5,98457,21573,5.6,0.2,37.8,93.4,6,2.8,2,2,2,6.18777,173,55,78.0798,2.5398,80.1815,5.4136,5.83048
29185," Missouri","St. Clair ",4,669.98,702.05,9805,32.2,49.7,50.3,95.7,0.7,0.7,0.2,0,0.1,51632,17246,17.6,0.1,13.4,83.8,15.1,5.5,98,40,98,15.9506,4,22,47.8711,4.36392,78.1616,4.58407,100
29186," Missouri","Ste. Genevieve ",5,499.15,506.77,18145,24.4,50.2,49.8,96.7,1.8,0,0.6,0,0.1,70739,18473,14.6,0,17.7,84.8,13.9,3.7,41,21,51,10.9227,6,39,63.2134,2.795,78.3807,7.44892,76.1422
29187," Missouri","St. Francois ",5,451.89,454.67,65359,19.2,54.1,45.9,92.9,4.5,0.3,0.5,0,0.3,58508,18551,16.3,0.1,14,90.8,8.6,6.5,76,78,83,11.1931,48,45,52.406,3.65605,74.8835,5.13093,39.7635
